Price,Qty,Open,Close,Profit,Total
200, 10.89 , 18.37 , 18.00 , (4.03), 195.97 
200, 10.89 , 18.37 , 20.00 , 17.75 , 217.75 
200, 10.89 , 18.37 , 23.00 , 50.41 , 250.41 
200, 10.89 , 18.37 , 28.00 , 104.84 , 304.84 
200, 10.89 , 18.37 , 33.00 , 159.28 , 359.28 
200, 10.89 , 18.37 , 38.00 , 213.72 , 413.72 
200, 10.89 , 18.37 , 43.00 , 268.15 , 468.15 
200, 10.89 , 18.37 , 48.00 , 322.59 , 522.59 
200, 10.89 , 18.37 , 53.00 , 377.03 , 577.03 
200, 10.89 , 18.37 , 58.00 , 431.46 , 631.46 
200, 10.89 , 18.37 , 63.00 , 485.90 , 685.90 
200, 10.89 , 18.37 , 68.00 , 540.34 , 740.34 
200, 10.89 , 18.37 , 73.00 , 594.77 , 794.77 
200, 10.89 , 18.37 , 78.00 , 649.21 , 849.21 
200, 10.89 , 18.37 , 83.00 , 703.65 , 903.65 
200, 10.89 , 18.37 , 88.00 , 758.08 , 958.08 
200, 10.89 , 18.37 , 93.00 , 812.52 ," 1,012.52 "
200, 10.89 , 18.37 , 98.00 , 866.96 ," 1,066.96 "
200, 10.89 , 18.37 , 103.00 , 921.39 ," 1,121.39 "
200, 10.89 , 18.37 , 153.00 ," 1,465.76 "," 1,665.76 "
200, 10.89 , 18.37 , 203.00 ," 2,010.13 "," 2,210.13 "
200, 10.89 , 18.37 , 253.00 ," 2,554.49 "," 2,754.49 "
200, 10.89 , 18.37 , 303.00 ," 3,098.86 "," 3,298.86 "
200, 10.89 , 18.37 , 353.00 ," 3,643.22 "," 3,843.22 "
200, 10.89 , 18.37 , 403.00 ," 4,187.59 "," 4,387.59 "
200, 10.89 , 18.37 , 453.00 ," 4,731.95 "," 4,931.95 "
200, 10.89 , 18.37 , 503.00 ," 5,276.32 "," 5,476.32 "
200, 10.89 , 18.37 ," 1,003.00 "," 10,719.98 "," 10,919.98 "
200, 10.89 , 18.37 ," 1,503.00 "," 16,163.64 "," 16,363.64 "
200, 10.89 , 18.37 ," 2,003.00 "," 21,607.29 "," 21,807.29 "
200, 10.89 , 18.37 ," 2,503.00 "," 27,050.95 "," 27,250.95 "
200, 10.89 , 18.37 ," 3,003.00 "," 32,494.61 "," 32,694.61 "
200, 10.89 , 18.37 ," 3,503.00 "," 37,938.27 "," 38,138.27 "
200, 10.89 , 18.37 ," 4,003.00 "," 43,381.93 "," 43,581.93 "
200, 10.89 , 18.37 ," 4,503.00 "," 48,825.59 "," 49,025.59 "
200, 10.89 , 18.37 ," 5,003.00 "," 54,269.24 "," 54,469.24 "
200, 10.89 , 18.37 ," 5,503.00 "," 59,712.90 "," 59,912.90 "
200, 10.89 , 18.37 ," 6,003.00 "," 65,156.56 "," 65,356.56 "
200, 10.89 , 18.37 ," 6,503.00 "," 70,600.22 "," 70,800.22 "
200, 10.89 , 18.37 ," 7,003.00 "," 76,043.88 "," 76,243.88 "
